	-log10(fdr_BH)	log2(fold_change)	Gene	fold_change
sp|O00116|ADAS_HUMAN Alkyldihydroxyacetonephosphate synthase, peroxisomal OS=Homo sapiens OX=9606 GN=AGPS PE=1 SV=1	0.9889332512866774	0.22275328588235888	AGPS	1.16695852411628
sp|O00139|KIF2A_HUMAN Kinesin-like protein KIF2A OS=Homo sapiens OX=9606 GN=KIF2A PE=1 SV=3	1.7584575067581127	-0.3518537200213082	KIF2A	0.7835766325418708
sp|O00148|DX39A_HUMAN ATP-dependent RNA helicase DDX39A OS=Homo sapiens OX=9606 GN=DDX39A PE=1 SV=2	0.010953871762464769	-0.003626512557227679	DDX39A	0.997489449761445
sp|O00151|PDLI1_HUMAN PDZ and LIM domain protein 1 OS=Homo sapiens OX=9606 GN=PDLIM1 PE=1 SV=4	0.05662509270574219	-0.021482346479905434	PDLIM1	0.9852198863064435
sp|O00154|BACH_HUMAN Cytosolic acyl coenzyme A thioester hydrolase OS=Homo sapiens OX=9606 GN=ACOT7 PE=1 SV=3	0.03239600058654216	-0.0404209587409437	ACOT7	0.9723711813628929
sp|O00159|MYO1C_HUMAN Unconventional myosin-Ic OS=Homo sapiens OX=9606 GN=MYO1C PE=1 SV=4	0.0600016640632406	0.013271812960582552	MYO1C	1.0092417635278412
sp|O00161|SNP23_HUMAN Synaptosomal-associated protein 23 OS=Homo sapiens OX=9606 GN=SNAP23 PE=1 SV=1	0.1521158265992279	-0.046324184229148635	SNAP23	0.9684005580194138
sp|O00165|HAX1_HUMAN HCLS1-associated protein X-1 OS=Homo sapiens OX=9606 GN=HAX1 PE=1 SV=2	0.8006658797218285	0.1882844448630911	HAX1	1.139408003214712
sp|O00170|AIP_HUMAN AH receptor-interacting protein OS=Homo sapiens OX=9606 GN=AIP PE=1 SV=2	1.4853503658712501	-0.18148145455888476	AIP	0.8817970437765319
sp|O00178|GTPB1_HUMAN GTP-binding protein 1 OS=Homo sapiens OX=9606 GN=GTPBP1 PE=1 SV=3	0.12348358310038071	0.052166755329328796	GTPBP1	1.036820936064543
sp|O00186|STXB3_HUMAN Syntaxin-binding protein 3 OS=Homo sapiens OX=9606 GN=STXBP3 PE=1 SV=2	0.15954207023425115	-0.10749646731091866	STXBP3	0.9281973814942645
sp|O00193|SMAP_HUMAN Small acidic protein OS=Homo sapiens OX=9606 GN=SMAP PE=1 SV=1	0.1250726849914806	0.10599442465946779	SMAP	1.076235965627894
sp|O00203|AP3B1_HUMAN AP-3 complex subunit beta-1 OS=Homo sapiens OX=9606 GN=AP3B1 PE=1 SV=3	2.057006004397166	-0.682754388158531	AP3B1	0.6229747571916467
sp|O00214|LEG8_HUMAN Galectin-8 OS=Homo sapiens OX=9606 GN=LGALS8 PE=1 SV=4	0.1626927673374571	0.057073662803470926	LGALS8	1.0403533847405375
sp|O00217|NDUS8_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS8 PE=1 SV=1	0.788293915706488	0.3243980768405622	NDUFS8	1.2521419093001473
sp|O00231|PSD11_HUMAN 26S proteasome non-ATPase regulatory subunit 11 OS=Homo sapiens OX=9606 GN=PSMD11 PE=1 SV=3	1.3841763587517664	-0.1443157890025244	PSMD11	0.9048083892746803
sp|O00232|PSD12_HUMAN 26S proteasome non-ATPase regulatory subunit 12 OS=Homo sapiens OX=9606 GN=PSMD12 PE=1 SV=3	0.16928109120485646	0.030011828232119342	PSMD12	1.0210204967194891
sp|O00233|PSMD9_HUMAN 26S proteasome non-ATPase regulatory subunit 9 OS=Homo sapiens OX=9606 GN=PSMD9 PE=1 SV=3	0.3027928872605941	-0.1766412151159234	PSMD9	0.8847604396942367
sp|O00244|ATOX1_HUMAN Copper transport protein ATOX1 OS=Homo sapiens OX=9606 GN=ATOX1 PE=1 SV=1	0.0832606594812076	0.06436649385650373	ATOX1	1.0456256911376638
sp|O00255|MEN1_HUMAN Menin OS=Homo sapiens OX=9606 GN=MEN1 PE=1 SV=4	0.3262790440214236	0.17507979210472208	MEN1	1.1290268469263534
sp|O00264|PGRC1_HUMAN Membrane-associated progesterone receptor component 1 OS=Homo sapiens OX=9606 GN=PGRMC1 PE=1 SV=3	0.029863920385388938	-0.015078904143033478	PGRMC1	0.989602531411103
sp|O00267|SPT5H_HUMAN Transcription elongation factor SPT5 OS=Homo sapiens OX=9606 GN=SUPT5H PE=1 SV=1	0.3346545786799692	0.10225117959039601	SUPT5H	1.0734471620258461
sp|O00268|TAF4_HUMAN Transcription initiation factor TFIID subunit 4 OS=Homo sapiens OX=9606 GN=TAF4 PE=1 SV=2	1.439597683219847	-0.4891442510238082	TAF4	0.7124475678822958
sp|O00273|DFFA_HUMAN DNA fragmentation factor subunit alpha OS=Homo sapiens OX=9606 GN=DFFA PE=1 SV=1	0.376659242304264	-0.27205154299412776	DFFA	0.8281410739083694
sp|O00299|CLIC1_HUMAN Chloride intracellular channel protein 1 OS=Homo sapiens OX=9606 GN=CLIC1 PE=1 SV=4	0.16017961327364563	0.016557992361325047	CLIC1	1.0115432406226392
sp|O00303|EIF3F_HUMAN Eukaryotic translation initiation factor 3 subunit F OS=Homo sapiens OX=9606 GN=EIF3F PE=1 SV=1	0.01101131273078354	0.006499424382913732	EIF3F	1.0045152207146026
sp|O00330|ODPX_HUMAN Pyruvate dehydrogenase protein X component, mitochondrial OS=Homo sapiens OX=9606 GN=PDHX PE=1 SV=3	0.7149871444493705	0.16865246285043062	PDHX	1.1240081239054491
sp|O00391|QSOX1_HUMAN Sulfhydryl oxidase 1 OS=Homo sapiens OX=9606 GN=QSOX1 PE=1 SV=3	5.956491887372223	2.1452879392830346	QSOX1	4.423805447301542
sp|O00400|ACATN_HUMAN Acetyl-coenzyme A transporter 1 OS=Homo sapiens OX=9606 GN=SLC33A1 PE=1 SV=1	0.5671928041263596	-0.1811762354434321	SLC33A1	0.8819836180545986
sp|O00410|IPO5_HUMAN Importin-5 OS=Homo sapiens OX=9606 GN=IPO5 PE=1 SV=4	0.506150581003812	-0.09946690443382045	IPO5	0.9333778237053373
sp|O00411|RPOM_HUMAN DNA-directed RNA polymerase, mitochondrial OS=Homo sapiens OX=9606 GN=POLRMT PE=1 SV=2	0.3258177155097408	0.12819634774221988	POLRMT	1.0929264739598692
sp|O00422|SAP18_HUMAN Histone deacetylase complex subunit SAP18 OS=Homo sapiens OX=9606 GN=SAP18 PE=1 SV=1	1.6301002825400546	-0.2131636335261078	SAP18	0.8626434961418957
sp|O00425|IF2B3_HUMAN Insulin-like growth factor 2 mRNA-binding protein 3 OS=Homo sapiens OX=9606 GN=IGF2BP3 PE=1 SV=2	1.7076983645367116	-0.28448055205877765	IGF2BP3	0.8210371732142294
sp|O00429|DNM1L_HUMAN Dynamin-1-like protein OS=Homo sapiens OX=9606 GN=DNM1L PE=1 SV=2	0.3655539829132646	-0.14239223765708253	DNM1L	0.906015578689354
sp|O00443|P3C2A_HUMAN Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha OS=Homo sapiens OX=9606 GN=PIK3C2A PE=1 SV=2	0.49802791909323496	-0.2979915807466442	PIK3C2A	0.813383944849437
sp|O00461|GOLI4_HUMAN Golgi integral membrane protein 4 OS=Homo sapiens OX=9606 GN=GOLIM4 PE=1 SV=1	0.21906294961573203	0.08333856577636589	GOLIM4	1.0594669368833092
sp|O00468|AGRIN_HUMAN Agrin OS=Homo sapiens OX=9606 GN=AGRN PE=1 SV=6	4.225625600874104	0.9434859399939536	AGRN	1.9231695249180982
sp|O00469|PLOD2_HUMAN Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 OS=Homo sapiens OX=9606 GN=PLOD2 PE=1 SV=2	1.6071757791726602	-0.24348576020746088	PLOD2	0.8447019225853308
sp|O00471|EXOC5_HUMAN Exocyst complex component 5 OS=Homo sapiens OX=9606 GN=EXOC5 PE=1 SV=1	0.979073774672281	0.32089024072287875	EXOC5	1.2491010912598777
sp|O00483|NDUA4_HUMAN Cytochrome c oxidase subunit NDUFA4 OS=Homo sapiens OX=9606 GN=NDUFA4 PE=1 SV=1	0.17249339209891384	-0.1225791921718149	NDUFA4	0.9185440457742634
sp|O00487|PSDE_HUMAN 26S proteasome non-ATPase regulatory subunit 14 OS=Homo sapiens OX=9606 GN=PSMD14 PE=1 SV=1	0.5852769699314628	-0.33214542973793865	PSMD14	0.7943543217979473
sp|O00488|ZN593_HUMAN Zinc finger protein 593 OS=Homo sapiens OX=9606 GN=ZNF593 PE=1 SV=2	0.19987070466508458	-0.11747071798672727	ZNF593	0.921802306092876
sp|O00499|BIN1_HUMAN Myc box-dependent-interacting protein 1 OS=Homo sapiens OX=9606 GN=BIN1 PE=1 SV=1	0.3899114052721628	-0.14210167083259503	BIN1	0.9061980736552167
sp|O00505|IMA4_HUMAN Importin subunit alpha-4 OS=Homo sapiens OX=9606 GN=KPNA3 PE=1 SV=2	0.077915535867064	-0.03080252322359081	KPNA3	0.978875630184727
sp|O00541|PESC_HUMAN Pescadillo homolog OS=Homo sapiens OX=9606 GN=PES1 PE=1 SV=1	0.35859020523311663	0.142545644024143	PES1	1.1038511504307025
sp|O00560|SDCB1_HUMAN Syntenin-1 OS=Homo sapiens OX=9606 GN=SDCBP PE=1 SV=1	0.9419102250355602	-0.2783904325534884	SDCBP	0.8245103834582154
sp|O00566|MPP10_HUMAN U3 small nucleolar ribonucleoprotein protein MPP10 OS=Homo sapiens OX=9606 GN=MPHOSPH10 PE=1 SV=2	0.7356904984061723	0.20609386980672068	MPHOSPH10	1.1535606597253387
sp|O00567|NOP56_HUMAN Nucleolar protein 56 OS=Homo sapiens OX=9606 GN=NOP56 PE=1 SV=4	1.7719360700482816	0.1295457189991429	NOP56	1.0939491803710164
sp|O00571|DDX3X_HUMAN ATP-dependent RNA helicase DDX3X OS=Homo sapiens OX=9606 GN=DDX3X PE=1 SV=3	0.14183823022143213	0.027514473203362977	DDX3X	1.019254603767234
sp|O00592|PODXL_HUMAN Podocalyxin OS=Homo sapiens OX=9606 GN=PODXL PE=1 SV=2	0.014615868504933205	-0.015545133084949647	PODXL	0.9892827779047286
sp|O00622|CCN1_HUMAN CCN family member 1 OS=Homo sapiens OX=9606 GN=CCN1 PE=1 SV=1	0.23997984960385607	0.14607773129852952	CCN1	1.1065569719242092
sp|O00629|IMA3_HUMAN Importin subunit alpha-3 OS=Homo sapiens OX=9606 GN=KPNA4 PE=1 SV=1	0.0012696369904687608	0.001850972966637221	KPNA4	1.0012838200854735
sp|O00743|PPP6_HUMAN Serine/threonine-protein phosphatase 6 catalytic subunit OS=Homo sapiens OX=9606 GN=PPP6C PE=1 SV=1	0.010009052695950862	-0.010064657166994256	PPP6C	0.9930479890745268
sp|O00754|MA2B1_HUMAN Lysosomal alpha-mannosidase OS=Homo sapiens OX=9606 GN=MAN2B1 PE=1 SV=3	0.1717555436146147	0.08810949363235965	MAN2B1	1.0629763461023185
sp|O00762|UBE2C_HUMAN Ubiquitin-conjugating enzyme E2 C OS=Homo sapiens OX=9606 GN=UBE2C PE=1 SV=1	0.6296759046144393	0.1571104319543158	UBE2C	1.1150515677499162
sp|O00767|ACOD_HUMAN Acyl-CoA desaturase OS=Homo sapiens OX=9606 GN=SCD PE=1 SV=2	0.039069642667865175	-0.046565853770210386	SCD	0.9682383523479755
sp|O14497|ARI1A_HUMAN AT-rich interactive domain-containing protein 1A OS=Homo sapiens OX=9606 GN=ARID1A PE=1 SV=3	0.009535031250856217	0.0049482691479937335	ARID1A	1.003435767573563
sp|O14519|CDKA1_HUMAN Cyclin-dependent kinase 2-associated protein 1 OS=Homo sapiens OX=9606 GN=CDK2AP1 PE=1 SV=1	0.20616010451327593	0.01723851126023075	CDK2AP1	1.0120204978747351
sp|O14530|TXND9_HUMAN Thioredoxin domain-containing protein 9 OS=Homo sapiens OX=9606 GN=TXNDC9 PE=1 SV=2	1.6051780967409925	-0.2886328123962646	TXNDC9	0.8186775208289458
sp|O14548|COX7R_HUMAN Cytochrome c oxidase subunit 7A-related protein, mitochondrial OS=Homo sapiens OX=9606 GN=COX7A2L PE=1 SV=2	0.5364925426662087	0.14811190540234298	COX7A2L	1.1081182978482933
sp|O14561|ACPM_HUMAN Acyl carrier protein, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFAB1 PE=1 SV=3	0.15862660591510064	0.06258405313500937	NDUFAB1	1.0443346248367285
sp|O14562|UBFD1_HUMAN Ubiquitin domain-containing protein UBFD1 OS=Homo sapiens OX=9606 GN=UBFD1 PE=1 SV=2	0.6009991827808804	0.2419514337547956	UBFD1	1.1825911893494088
sp|O14579|COPE_HUMAN Coatomer subunit epsilon OS=Homo sapiens OX=9606 GN=COPE PE=1 SV=3	0.09371539992670554	-0.10699104467942577	COPE	0.9285226159585355
sp|O14617|AP3D1_HUMAN AP-3 complex subunit delta-1 OS=Homo sapiens OX=9606 GN=AP3D1 PE=1 SV=1	1.4540990645215244	-0.39761330740126866	AP3D1	0.7591130680046433
sp|O14618|CCS_HUMAN Copper chaperone for superoxide dismutase OS=Homo sapiens OX=9606 GN=CCS PE=1 SV=1	1.2115687961659733	-0.3784835724137017	CCS	0.7692457258074624
sp|O14641|DVL2_HUMAN Segment polarity protein dishevelled homolog DVL-2 OS=Homo sapiens OX=9606 GN=DVL2 PE=1 SV=1	0.45390128406058383	-0.22178174906773684	DVL2	0.857505750308025
sp|O14646|CHD1_HUMAN Chromodomain-helicase-DNA-binding protein 1 OS=Homo sapiens OX=9606 GN=CHD1 PE=1 SV=2	0.1066037987805281	0.09968542901192246	CHD1	1.0715397942463338
sp|O14647|CHD2_HUMAN Chromodomain-helicase-DNA-binding protein 2 OS=Homo sapiens OX=9606 GN=CHD2 PE=1 SV=2	0.026439753458436816	-0.039918110170729104	CHD2	0.9727101585316966
sp|O14656|TOR1A_HUMAN Torsin-1A OS=Homo sapiens OX=9606 GN=TOR1A PE=1 SV=1	1.0509545831527844	0.2856244627959381	TOR1A	1.2189377601643108
sp|O14657|TOR1B_HUMAN Torsin-1B OS=Homo sapiens OX=9606 GN=TOR1B PE=1 SV=2	0.03432807718347057	-0.028500388773438523	TOR1B	0.9804388865773682
sp|O14662|STX16_HUMAN Syntaxin-16 OS=Homo sapiens OX=9606 GN=STX16 PE=1 SV=3	0.47128722729071526	0.2101141935024704	STX16	1.1567797427579116
sp|O14672|ADA10_HUMAN Disintegrin and metalloproteinase domain-containing protein 10 OS=Homo sapiens OX=9606 GN=ADAM10 PE=1 SV=1	0.027777638164218108	0.019639416392618014	ADAM10	1.0137060849493422
sp|O14681|EI24_HUMAN Etoposide-induced protein 2.4 homolog OS=Homo sapiens OX=9606 GN=EI24 PE=1 SV=4	1.3409595905920146	-0.1902676274928068	EI24	0.876443121441525
sp|O14735|CDIPT_HUMAN CDP-diacylglycerol--inositol 3-phosphatidyltransferase OS=Homo sapiens OX=9606 GN=CDIPT PE=1 SV=1	0.025681044305491292	0.02080728444732255	CDIPT	1.0145270167646259
sp|O14737|PDCD5_HUMAN Programmed cell death protein 5 OS=Homo sapiens OX=9606 GN=PDCD5 PE=1 SV=3	0.04902992634634299	0.02514529553034639	PDCD5	1.0175821688506286
sp|O14744|ANM5_HUMAN Protein arginine N-methyltransferase 5 OS=Homo sapiens OX=9606 GN=PRMT5 PE=1 SV=4	0.7634691264874838	-0.18905964931025507	PRMT5	0.8771772804294397
sp|O14745|NHRF1_HUMAN Na(+)/H(+) exchange regulatory cofactor NHE-RF1 OS=Homo sapiens OX=9606 GN=SLC9A3R1 PE=1 SV=4	0.01650795433225669	-0.007128592524679123	SLC9A3R1	0.9950710236583674
sp|O14763|TR10B_HUMAN Tumor necrosis factor receptor superfamily member 10B OS=Homo sapiens OX=9606 GN=TNFRSF10B PE=1 SV=2	0.25994904966213667	0.11182433632626321	TNFRSF10B	1.080593820082165
sp|O14773|TPP1_HUMAN Tripeptidyl-peptidase 1 OS=Homo sapiens OX=9606 GN=TPP1 PE=1 SV=2	0.20715572009127622	-0.14101637319688204	TPP1	0.9068800366612308
sp|O14776|TCRG1_HUMAN Transcription elongation regulator 1 OS=Homo sapiens OX=9606 GN=TCERG1 PE=1 SV=2	1.7240280275355147	-0.2688354187729638	TCERG1	0.8299892645459482
sp|O14777|NDC80_HUMAN Kinetochore protein NDC80 homolog OS=Homo sapiens OX=9606 GN=NDC80 PE=1 SV=1	0.21090054235981026	0.1415532887334648	NDC80	1.1030921294000808
sp|O14787|TNPO2_HUMAN Transportin-2 OS=Homo sapiens OX=9606 GN=TNPO2 PE=1 SV=3	0.10406670728071699	-0.052935317161144635	TNPO2	0.9639730262396273
sp|O14818|PSA7_HUMAN Proteasome subunit alpha type-7 OS=Homo sapiens OX=9606 GN=PSMA7 PE=1 SV=1	0.08053847991919784	-0.03533708965004845	PSMA7	0.9758037349209483
sp|O14828|SCAM3_HUMAN Secretory carrier-associated membrane protein 3 OS=Homo sapiens OX=9606 GN=SCAMP3 PE=1 SV=3	0.11247416722925399	0.0677955623024043	SCAMP3	1.048113941573462
sp|O14879|IFIT3_HUMAN Interferon-induced protein with tetratricopeptide repeats 3 OS=Homo sapiens OX=9606 GN=IFIT3 PE=1 SV=1	11.190624119815489	1.9320679233546985	IFIT3	3.816017859446789
sp|O14880|MGST3_HUMAN Microsomal glutathione S-transferase 3 OS=Homo sapiens OX=9606 GN=MGST3 PE=1 SV=1	0.08746024787688515	-0.01368310308904358	MGST3	0.9905604307785246
sp|O14893|GEMI2_HUMAN Gem-associated protein 2 OS=Homo sapiens OX=9606 GN=GEMIN2 PE=1 SV=1	0.4952242838526154	-0.1898638687473555	GEMIN2	0.8766884408525999
sp|O14907|TX1B3_HUMAN Tax1-binding protein 3 OS=Homo sapiens OX=9606 GN=TAX1BP3 PE=1 SV=2	0.10611858171268598	-0.05345627021003498	TAX1BP3	0.9636250011788742
sp|O14908|GIPC1_HUMAN PDZ domain-containing protein GIPC1 OS=Homo sapiens OX=9606 GN=GIPC1 PE=1 SV=2	0.38399255538203414	-0.1456409972851644	GIPC1	0.9039776461172055
sp|O14925|TIM23_HUMAN Mitochondrial import inner membrane translocase subunit Tim23 OS=Homo sapiens OX=9606 GN=TIMM23 PE=1 SV=1	0.34774017666610907	0.17494181673634707	TIMM23	1.128918875080711
sp|O14929|HAT1_HUMAN Histone acetyltransferase type B catalytic subunit OS=Homo sapiens OX=9606 GN=HAT1 PE=1 SV=1	0.35859020523311663	-0.20283841139148706	HAT1	0.8688394937977828
sp|O14936|CSKP_HUMAN Peripheral plasma membrane protein CASK OS=Homo sapiens OX=9606 GN=CASK PE=1 SV=3	0.562002927270532	-0.2403964397861445	CASK	0.8465126662357735
sp|O14949|QCR8_HUMAN Cytochrome b-c1 complex subunit 8 OS=Homo sapiens OX=9606 GN=UQCRQ PE=1 SV=4	1.6532360776181458	-0.24317355914231487	UQCRQ	0.8448847369493352
sp|O14950|ML12B_HUMAN Myosin regulatory light chain 12B OS=Homo sapiens OX=9606 GN=MYL12B PE=1 SV=2	0.11557291003277449	-0.023152898195154537	MYL12B	0.9840797228002954
sp|O14964|HGS_HUMAN Hepatocyte growth factor-regulated tyrosine kinase substrate OS=Homo sapiens OX=9606 GN=HGS PE=1 SV=1	0.7790068464516288	0.24347651924931765	HGS	1.1838419777899976
sp|O14965|AURKA_HUMAN Aurora kinase A OS=Homo sapiens OX=9606 GN=AURKA PE=1 SV=2	0.022951229053516608	0.02118823979964879	AURKA	1.0147949462427892
sp|O14967|CLGN_HUMAN Calmegin OS=Homo sapiens OX=9606 GN=CLGN PE=1 SV=1	0.4377940105872413	-0.1464495852152794	CLGN	0.9034711353199504
sp|O14974|MYPT1_HUMAN Protein phosphatase 1 regulatory subunit 12A OS=Homo sapiens OX=9606 GN=PPP1R12A PE=1 SV=1	0.06949086744456202	0.021355155761130562	PPP1R12A	1.0149123620988498
sp|O14979|HNRDL_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=3	0.27126628311018874	-0.05103752708714426	HNRNPDL	0.9652419168706784
sp|O14980|XPO1_HUMAN Exportin-1 OS=Homo sapiens OX=9606 GN=XPO1 PE=1 SV=1	0.23997984960385607	-0.08280827255396472	XPO1	0.9442178929692729
sp|O14981|BTAF1_HUMAN TATA-binding protein-associated factor 172 OS=Homo sapiens OX=9606 GN=BTAF1 PE=1 SV=2	1.0273918876315704	-0.34279818120652794	BTAF1	0.7885104711718481
sp|O15020|SPTN2_HUMAN Spectrin beta chain, non-erythrocytic 2 OS=Homo sapiens OX=9606 GN=SPTBN2 PE=1 SV=3	0.3959187524011539	0.19619662079449696	SPTBN2	1.1456740279876114
sp|O15027|SC16A_HUMAN Protein transport protein Sec16A OS=Homo sapiens OX=9606 GN=SEC16A PE=1 SV=4	0.12348358310038071	0.11107807457027596	SEC16A	1.0800350066875628
sp|O15031|PLXB2_HUMAN Plexin-B2 OS=Homo sapiens OX=9606 GN=PLXNB2 PE=1 SV=3	0.9337830571530128	0.2500579193059859	PLXNB2	1.189254858587783
sp|O15042|SR140_HUMAN U2 snRNP-associated SURP motif-containing protein OS=Homo sapiens OX=9606 GN=U2SURP PE=1 SV=2	0.6690982110717022	-0.11381823099077804	U2SURP	0.9241389998579929
sp|O15061|SYNEM_HUMAN Synemin OS=Homo sapiens OX=9606 GN=SYNM PE=1 SV=2	2.9239969846706413	0.9390701126863167	SYNM	1.9172920520687047
sp|O15067|PUR4_HUMAN Phosphoribosylformylglycinamidine synthase OS=Homo sapiens OX=9606 GN=PFAS PE=1 SV=4	0.5067183290823599	-0.0924497300958228	PFAS	0.9379287711876286
sp|O15091|MRPP3_HUMAN Mitochondrial ribonuclease P catalytic subunit OS=Homo sapiens OX=9606 GN=KIAA0391 PE=1 SV=2	1.4471656578412788	-0.404453605445966	KIAA0391	0.7555223789872468
sp|O15118|NPC1_HUMAN NPC intracellular cholesterol transporter 1 OS=Homo sapiens OX=9606 GN=NPC1 PE=1 SV=2	0.21304237487985733	0.11661508165555978	NPC1	1.0841881033730936
sp|O15121|DEGS1_HUMAN Sphingolipid delta(4)-desaturase DES1 OS=Homo sapiens OX=9606 GN=DEGS1 PE=1 SV=1	0.6299124193385197	0.15359276983875858	DEGS1	1.1123360966697597
sp|O15126|SCAM1_HUMAN Secretory carrier-associated membrane protein 1 OS=Homo sapiens OX=9606 GN=SCAMP1 PE=1 SV=2	0.18380686790025122	-0.11608274617335357	SCAMP1	0.9226895700204626
sp|O15127|SCAM2_HUMAN Secretory carrier-associated membrane protein 2 OS=Homo sapiens OX=9606 GN=SCAMP2 PE=1 SV=2	0.35510023815717073	0.1505092367069052	SCAMP2	1.1099611925779909
sp|O15143|ARC1B_HUMAN Actin-related protein 2/3 complex subunit 1B OS=Homo sapiens OX=9606 GN=ARPC1B PE=1 SV=3	0.44243375217006037	0.23787589564120482	ARPC1B	1.1792551453202955
