category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description	-log10(fdr)	Enrichment	GO_score
COMPARTMENTS	GOCC:0042825	3	3	9606	TAP1,TAP2,TAPBP	TAP1,TAP2,TAPBP	2.37e-06	0.0005	TAP complex	3.3010299956639813	2.30999192878118	7.625352646648371
COMPARTMENTS	GOCC:0030176	7	117	9606	EMC8,DNAJB12,TAP1,TAP2,HLA-C,HLA-B,TAPBP	EMC8,DNAJB12,TAP1,TAP2,HLA-C,HLA-B,TAPBP	2.88e-06	0.00055	Integral component of endoplasmic reticulum membrane	3.2596373105057563	1.086904107049275	3.5429131802797595
COMPARTMENTS	GOCC:0012505	34	3080	9606	APOL2,EMC8,LGALS3BP,PML,LPCAT1,ERAP1,FABP5,F2,WASHC5,OS9,PARP10,EHD3,MX2,JAK1,DNAJB12,TAP1,COL6A1,CENPF,SLC30A1,QSOX1,GBP1,SLC38A10,ECE1,TAP2,HLA-C,DNAJC1,AGRN,IRF7,MX1,IFITM3,HLA-B,TAPBP,VPS52,ATP2C1	APOL2,EMC8,LGALS3BP,PML,LPCAT1,ERAP1,FABP5,F2,KIAA0196,OS9,PARP10,EHD3,MX2,JAK1,DNAJB12,TAP1,COL6A1,CENPF,SLC30A1,QSOX1,GBP1,SLC38A10,ECE1,TAP2,HLA-C,DNAJC1,AGRN,IRF7,MX1,IFITM3,HLA-B,TAPBP,VPS52,ATP2C1	3.53e-06	0.00063	Endomembrane system	3.2006594505464183	0.35292012932299077	1.1295771472056946
COMPARTMENTS	GOCC:0030670	5	48	9606	TAP1,TAP2,HLA-C,HLA-B,TAPBP	TAP1,TAP2,HLA-C,HLA-B,TAPBP	6.59e-06	0.001	Phagocytic vesicle membrane	3.0	1.3277206957416117	3.983162087224835
COMPARTMENTS	GOCC:0031090	27	2219	9606	APOL2,EMC8,PML,LPCAT1,COX11,OS9,SLC25A22,EHD3,DNAJB12,TAP1,SLC25A29,SLC30A1,QSOX1,IFI16,GBP1,ECE1,TAP2,HLA-C,DDX58,IRF7,MX1,IFITM3,CALCOCO2,HLA-B,TAPBP,VPS52,ATP2C1	APOL2,EMC8,PML,LPCAT1,COX11,OS9,SLC25A22,EHD3,DNAJB12,TAP1,SLC25A29,SLC30A1,QSOX1,IFI16,GBP1,ECE1,TAP2,HLA-C,DDX58,IRF7,MX1,IFITM3,CALCOCO2,HLA-B,TAPBP,VPS52,ATP2C1	9.28e-06	0.0013	Organelle membrane	2.886056647693163	0.395198390708159	1.1405649426609221
COMPARTMENTS	GOCC:0008537	3	7	9606	PSME2,PSMB9,PSMB8	PSME2,PSMB9,PSMB8	1.4e-05	0.0019	Proteasome activator complex	2.721246399047171	1.9420151434865855	5.284701716107946
COMPARTMENTS	GOCC:0097071	3	13	9606	IFIH1,DDX58,IRF7	IFIH1,DDX58,IRF7	6.41e-05	0.0078	Interferon regulatory factor complex	2.1079053973095196	1.6731698311940058	3.5268837177893024
COMPARTMENTS	GOCC:0005783	14	825	9606	PML,LPCAT1,ERAP1,OS9,DNAJB12,TAP1,COL6A1,SLC30A1,QSOX1,TAP2,HLA-C,DNAJC1,HLA-B,TAPBP	PML,LPCAT1,ERAP1,OS9,DNAJB12,TAP1,COL6A1,SLC30A1,QSOX1,TAP2,HLA-C,DNAJC1,HLA-B,TAPBP	6.94e-05	0.008	Endoplasmic reticulum	2.0969100130080562	0.5396660159094929	1.1316310724407808
COMPARTMENTS	GOCC:0005789	10	513	9606	APOL2,EMC8,PML,OS9,DNAJB12,TAP1,TAP2,HLA-C,HLA-B,TAPBP	APOL2,EMC8,PML,OS9,DNAJB12,TAP1,TAP2,HLA-C,HLA-B,TAPBP	0.00028	0.0294	Endoplasmic reticulum membrane	1.5316526695878427	0.5998745636693636	0.9187994768620231
COMPARTMENTS	GOCC:0000502	4	61	9606	PSME2,PSMD10,PSMB9,PSMB8	PSME2,PSMD10,PSMB9,PSMB8	0.00031	0.0295	Proteasome complex	1.530177984021837	1.1267220850983755	1.7240853287287128
COMPARTMENTS	GOCC:0005634	39	4636	9606	PSMD10,OAS3,NMI,TRIM21,PHC2,OASL,SP110,SAMHD1,PML,NSMCE2,DTX3L,FABP5,F2,NSD3,STAT2,BBX,TRIM25,PARP10,MX2,SP100,JAK1,DNAJB12,STAT1,XAF1,MPHOSPH8,CENPF,SLC30A1,IFI16,PSMB8,CCDC22,ISG15,RCL1,KIF20A,IRF7,MX1,IFI35,CALCOCO2,HELZ2,NR2C2	PSMD10,OAS3,NMI,TRIM21,PHC2,OASL,SP110,SAMHD1,PML,NSMCE2,DTX3L,FABP5,F2,WHSC1L1,STAT2,BBX,TRIM25,PARP10,MX2,SP100,JAK1,DNAJB12,STAT1,XAF1,MPHOSPH8,CENPF,SLC30A1,IFI16,PSMB8,CCDC22,ISG15,RCL1,KIF20A,IRF7,MX1,IFI35,CALCOCO2,HELZ2,NR2C2	0.0003	0.0295	Nucleus	1.530177984021837	0.2349131085161208	0.35945886680950073
COMPARTMENTS	GOCC:0031410	20	1709	9606	LGALS3BP,PML,LPCAT1,FABP5,WASHC5,HBA1,EHD3,JAK1,TAP1,QSOX1,IFI16,ECE1,TAP2,HLA-C,DDX58,IRF7,IFITM3,HLA-B,TAPBP,VPS52	LGALS3BP,PML,LPCAT1,FABP5,KIAA0196,HBA1,EHD3,JAK1,TAP1,QSOX1,IFI16,ECE1,TAP2,HLA-C,DDX58,IRF7,IFITM3,HLA-B,TAPBP,VPS52	0.00029	0.0295	Cytoplasmic vesicle	1.530177984021837	0.37827986172442435	0.5788355162095389
COMPARTMENTS	GOCC:0044777	2	4	9606	TRIM21,SSBP1	TRIM21,SSBP1	0.00036	0.0311	Single-stranded dna-binding protein complex	1.5072396109731625	2.008961933117199	3.0279870025314595
COMPARTMENTS	GOCC:0071556	3	26	9606	HLA-C,HLA-B,TAPBP	HLA-C,HLA-B,TAPBP	0.0004	0.0318	Integral component of lumenal side of endoplasmic reticulum membrane	1.4975728800155674	1.3721398355300245	2.0548794052787858
COMPARTMENTS	GOCC:0031982	22	2051	9606	LGALS3BP,PML,LPCAT1,FABP5,F2,WASHC5,HBA1,EHD3,JAK1,TAP1,QSOX1,IFI16,GBP1,ECE1,TAP2,HLA-C,DDX58,IRF7,IFITM3,HLA-B,TAPBP,VPS52	LGALS3BP,PML,LPCAT1,FABP5,F2,KIAA0196,HBA1,EHD3,JAK1,TAP1,QSOX1,IFI16,GBP1,ECE1,TAP2,HLA-C,DDX58,IRF7,IFITM3,HLA-B,TAPBP,VPS52	0.00046	0.0345	Vesicle	1.4621809049267258	0.3404489492350199	0.4977979526738143
COMPARTMENTS	GOCC:0098844	2	5	9606	MX2,MX1	MX2,MX1	0.00051	0.0356	Postsynaptic endocytic zone membrane	1.448550002027125	1.9120519201091424	2.7697028127500665
COMPARTMENTS	GOCC:1990111	2	5	9606	PSMB9,PSMB8	PSMB9,PSMB8	0.00051	0.0356	Spermatoproteasome complex	1.448550002027125	1.9120519201091424	2.7697028127500665
COMPARTMENTS	GOCC:0097072	2	6	9606	IFIH1,DDX58	IFIH1,DDX58	0.00068	0.0433	Interferon regulatory factor 3 complex	1.3635121036466347	1.8328706740615175	2.499141348501845
COMPARTMENTS	GOCC:0016605	4	78	9606	PML,NSMCE2,SP100,CALCOCO2	PML,NSMCE2,SP100,CALCOCO2	0.00075	0.0446	PML body	1.350665141287858	1.019957317418662	1.3776207942388619
COMPARTMENTS	GOCC:0044327	2	7	9606	MX2,MX1	MX2,MX1	0.00087	0.05	Dendritic spine head	1.3010299956639813	1.7659238844309044	2.2975199437040605
Process	GO:0060337	20	67	9606	OAS3,OASL,SAMHD1,STAT2,MX2,OAS2,SP100,JAK1,STAT1,XAF1,IFIT1,IFIT3,PSMB8,HLA-C,ISG15,IRF7,MX1,IFITM3,IFI35,HLA-B	OAS3,OASL,SAMHD1,STAT2,MX2,OAS2,SP100,JAK1,STAT1,XAF1,IFIT1,IFIT3,PSMB8,HLA-C,ISG15,IRF7,MX1,IFITM3,IFI35,HLA-B	2.07e-28	2.6599999999999998e-24	Type i interferon signaling pathway	23.575118363368933	1.784947121744335	42.08033966747739
Process	GO:0045087	34	703	9606	OAS3,EIF2AK2,NMI,TRIM21,OASL,SAMHD1,IFIH1,HERC5,PML,DTX3L,STAT2,TRIM25,MX2,OAS2,SP100,JAK1,STAT1,XAF1,IFI16,GBP1,IFIT5,IFIT1,IFIT3,PSMB8,HLA-C,ISG15,DDX58,IRF7,MX1,IFITM3,IFI35,CALCOCO2,HLA-B,PARP14	OAS3,EIF2AK2,NMI,TRIM21,OASL,SAMHD1,IFIH1,HERC5,PML,DTX3L,STAT2,TRIM25,MX2,OAS2,SP100,JAK1,STAT1,XAF1,IFI16,GBP1,IFIT5,IFIT1,IFIT3,PSMB8,HLA-C,ISG15,DDX58,IRF7,MX1,IFITM3,IFI35,CALCOCO2,HLA-B,PARP14	4.0000000000000004e-24	1.28e-20	Innate immune response	19.89279003035213	0.9945155208036112	19.783688437272534
Process	GO:0051607	23	210	9606	OAS3,EIF2AK2,OASL,SAMHD1,IFIH1,HERC5,PML,DTX3L,STAT2,TRIM25,MX2,OAS2,STAT1,IFI16,GBP1,IFIT5,IFIT1,IFIT3,ISG15,DDX58,IRF7,MX1,IFITM3	OAS3,EIF2AK2,OASL,SAMHD1,IFIH1,HERC5,PML,DTX3L,STAT2,TRIM25,MX2,OAS2,STAT1,IFI16,GBP1,IFIT5,IFIT1,IFIT3,ISG15,DDX58,IRF7,MX1,IFITM3	1.1099999999999999e-23	2.85e-20	Defense response to virus	19.54515513999149	1.3495004700648536	26.376196048909005
Process	GO:0098542	35	900	9606	OAS3,EIF2AK2,NMI,TRIM21,OASL,SAMHD1,IFIH1,HERC5,PML,DTX3L,F2,STAT2,TRIM25,MX2,OAS2,SP100,JAK1,STAT1,XAF1,IFI16,GBP1,IFIT5,IFIT1,IFIT3,PSMB8,HLA-C,ISG15,DDX58,IRF7,MX1,IFITM3,IFI35,CALCOCO2,HLA-B,PARP14	OAS3,EIF2AK2,NMI,TRIM21,OASL,SAMHD1,IFIH1,HERC5,PML,DTX3L,F2,STAT2,TRIM25,MX2,OAS2,SP100,JAK1,STAT1,XAF1,IFI16,GBP1,IFIT5,IFIT1,IFIT3,PSMB8,HLA-C,ISG15,DDX58,IRF7,MX1,IFITM3,IFI35,CALCOCO2,HLA-B,PARP14	7.05e-22	1.51e-18	Defense response to other organism	17.82102305270683	0.8998174636921308	16.035667763685655
Process	GO:0006955	42	1588	9606	OAS3,EIF2AK2,NMI,TRIM21,OASL,SAMHD1,IFIH1,HERC5,PML,LPCAT1,DTX3L,ERAP1,FABP5,F2,STAT2,TRIM25,MX2,OAS2,SP100,JAK1,TAP1,STAT1,XAF1,QSOX1,IFI16,GBP1,IFIT5,IFIT1,IFIT3,PSMB8,TAP2,HLA-C,ISG15,DDX58,IRF7,MX1,IFITM3,IFI35,CALCOCO2,HLA-B,TAPBP,PARP14	OAS3,EIF2AK2,NMI,TRIM21,OASL,SAMHD1,IFIH1,HERC5,PML,LPCAT1,DTX3L,ERAP1,FABP5,F2,STAT2,TRIM25,MX2,OAS2,SP100,JAK1,TAP1,STAT1,XAF1,QSOX1,IFI16,GBP1,IFIT5,IFIT1,IFIT3,PSMB8,TAP2,HLA-C,ISG15,DDX58,IRF7,MX1,IFITM3,IFI35,CALCOCO2,HLA-B,TAPBP,PARP14	2.17e-20	3.49e-17	Immune response	16.45717457304082	0.732390721088003	12.053081952620513
Process	GO:0048525	17	105	9606	OAS3,EIF2AK2,TRIM21,OASL,PML,TRIM25,PARP10,OAS2,SP100,STAT1,MPHOSPH8,IFI16,IFIT5,IFIT1,ISG15,MX1,IFITM3	OAS3,EIF2AK2,TRIM21,OASL,PML,TRIM25,PARP10,OAS2,SP100,STAT1,MPHOSPH8,IFI16,IFIT5,IFIT1,ISG15,MX1,IFITM3	2.84e-20	4.05e-17	Negative regulation of viral process	16.39254497678533	1.519251551089516	24.904399382285767
Process	GO:0006952	38	1296	9606	OAS3,EIF2AK2,NMI,APOL2,TRIM21,OASL,LGALS3BP,SAMHD1,IFIH1,HERC5,PML,DTX3L,F2,STAT2,TRIM25,MX2,OAS2,SP100,JAK1,TAP1,STAT1,XAF1,IFI16,GBP1,IFIT5,IFIT1,IFIT3,PSMB8,HLA-C,ISG15,DDX58,IRF7,MX1,IFITM3,IFI35,CALCOCO2,HLA-B,PARP14	OAS3,EIF2AK2,NMI,APOL2,TRIM21,OASL,LGALS3BP,SAMHD1,IFIH1,HERC5,PML,DTX3L,F2,STAT2,TRIM25,MX2,OAS2,SP100,JAK1,TAP1,STAT1,XAF1,IFI16,GBP1,IFIT5,IFIT1,IFIT3,PSMB8,HLA-C,ISG15,DDX58,IRF7,MX1,IFITM3,IFI35,CALCOCO2,HLA-B,PARP14	9.63e-20	1.24e-16	Defense response	15.906578314837764	0.7771705238634156	12.362123801816912
