	category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description	-log10(fdr)	enrichment	metric
23	Process	GO:0050792	6	215	9606	OAS3,NECTIN2,FBLN1,OAS2,IFIT1,MX1	OAS3,PVRL2,FBLN1,OAS2,IFIT1,MX1	2.82e-06	0.0023	Regulation of viral process	2.638272163982407	0.4544867147755435	1.199059648492128
24	Process	GO:0045071	4	61	9606	OAS3,OAS2,IFIT1,MX1	OAS3,OAS2,IFIT1,MX1	5.99e-06	0.0038	Negative regulation of viral genome replication	2.42021640338319	0.8255040806247005	1.9978985169876595
25	Process	GO:0061025	5	136	9606	NECTIN2,MX2,GNAI3,TAP2,MX1	PVRL2,MX2,GNAI3,TAP2,MX1	5.65e-06	0.0038	Membrane fusion	2.42021640338319	0.5742050202733064	1.3897004089704335
26	Process	GO:0016032	9	776	9606	NECTIN2,SAMHD1,FBLN1,IFIT1,RCC1,TAP2,DDX58,HLA-A,HLA-B	PVRL2,SAMHD1,FBLN1,IFIT1,RCC1,TAP2,DDX58,HLA-A,HLA-B	9e-06	0.0053	Viral process	2.275724130399211	0.07315471248864153	0.16647994446281802
27	Process	GO:0060333	4	70	9606	OAS3,OAS2,HLA-A,HLA-B	OAS3,OAS2,HLA-A,HLA-B	1.01e-05	0.0055	Interferon-gamma-mediated signaling pathway	2.2596373105057563	0.7657358756212107	1.730285354546483
28	Process	GO:1903900	5	153	9606	OAS3,NECTIN2,OAS2,IFIT1,MX1	OAS3,PVRL2,OAS2,IFIT1,MX1	9.84e-06	0.0055	Regulation of viral life cycle	2.2596373105057563	0.5230524978259251	1.1819089394406914
29	Process	GO:0002376	15	2481	9606	OAS3,CD97,SAMHD1,MX2,OAS2,RAB4A,IFIT1,IFIT3,IFIT2,TAP2,DDX58,HLA-A,MX1,HLA-B,LAMTOR3	OAS3,CD97,SAMHD1,MX2,OAS2,RAB4A,IFIT1,IFIT3,IFIT2,TAP2,DDX58,HLA-A,MX1,HLA-B,LAMTOR3	1.44e-05	0.0066	Immune system process	2.1804560644581312	-0.2097615809090227	-0.4573759111834035
30	Process	GO:0035455	3	23	9606	MX2,IFIT3,IFIT2	MX2,IFIT3,IFIT2	1.44e-05	0.0066	Response to interferon-alpha	2.1804560644581312	1.1241673430095747	2.4511975005310114
31	Process	GO:0001916	3	25	9606	NECTIN2,HLA-A,HLA-B	PVRL2,HLA-A,HLA-B	1.81e-05	0.0077	Positive regulation of t cell mediated cytotoxicity	2.113509274827518	1.08795517035513	2.29940334314212
32	Process	GO:0002486	2	3	9606	HLA-A,HLA-B	HLA-A,HLA-B	3.27e-05	0.0124	Antigen processing and presentation of endogenous peptide antigen via mhc class i via er pathway, tap-independent	1.9065783148377649	1.832682665251824	3.4941530275482062
33	Process	GO:0071310	14	2369	9606	OAS3,SAMHD1,MX2,OAS2,GNAI3,IFIT1,IFIT3,IFIT2,DDX58,HLA-A,MX1,HLA-B,PNPT1,LAMTOR3	OAS3,SAMHD1,MX2,OAS2,GNAI3,IFIT1,IFIT3,IFIT2,DDX58,HLA-A,MX1,HLA-B,PNPT1,LAMTOR3	4.12e-05	0.0139	Cellular response to organic substance	1.856985199745905	-0.21966310073702192	-0.4079111269989435
34	Process	GO:0006950	17	3485	9606	OAS3,CD97,GMPR,SPAG9,SAMHD1,FBLN1,MX2,OAS2,CETN2,IFIT1,IFIT3,IFIT2,DDX58,HLA-A,MX1,HLA-B,PNPT1	OAS3,CD97,GMPR,SPAG9,SAMHD1,FBLN1,MX2,OAS2,CETN2,IFIT1,IFIT3,IFIT2,DDX58,HLA-A,MX1,HLA-B,PNPT1	4.97e-05	0.0164	Response to stress	1.785156151952302	-0.3029799367482492	-0.5408664980042563
35	Process	GO:0042269	3	41	9606	NECTIN2,HLA-A,HLA-B	PVRL2,HLA-A,HLA-B	7.15e-05	0.023	Regulation of natural killer cell mediated cytotoxicity	1.6382721639824072	0.873111322307432	1.4303939753941377
36	Process	GO:0002831	6	406	9606	NECTIN2,SAMHD1,IFIT1,DDX58,HLA-A,HLA-B	PVRL2,SAMHD1,IFIT1,DDX58,HLA-A,HLA-B	9.49e-05	0.0286	Regulation of response to biotic stimulus	1.5436339668709569	0.17839914111395463	0.27538297388410543
37	Process	GO:0042270	2	6	9606	HLA-A,HLA-B	HLA-A,HLA-B	9.12e-05	0.0286	Protection from natural killer cell mediated cytotoxicity	1.5436339668709569	1.5316526695878427	2.364311086224373
38	Process	GO:0016185	2	7	9606	MX2,MX1	MX2,MX1	0.00012	0.0334	Synaptic vesicle budding from presynaptic endocytic zone membrane	1.4762535331884354	1.4647058799572297	2.1622772303687365
39	Process	GO:0002705	4	137	9606	NECTIN2,DDX58,HLA-A,HLA-B	PVRL2,DDX58,HLA-A,HLA-B	0.00013	0.0349	Positive regulation of leukocyte mediated immunity	1.45717457304082	0.47411334847906084	0.690865916142929
40	Process	GO:0002480	2	8	9606	HLA-A,HLA-B	HLA-A,HLA-B	0.00015	0.0391	Antigen processing and presentation of exogenous peptide antigen via mhc class i, tap-independent	1.4078232426041333	1.4067139329795428	1.9804045705436735
41	Process	GO:0098884	2	8	9606	MX2,MX1	MX2,MX1	0.00015	0.0391	Postsynaptic neurotransmitter receptor internalization	1.4078232426041333	1.4067139329795428	1.9804045705436735
42	Process	GO:0007005	6	452	9606	NECTIN2,MX2,IFIT2,MX1,PNPT1,CLUH	PVRL2,MX2,IFIT2,MX1,PNPT1,CLUH	0.00017	0.0426	Mitochondrion organization	1.3705904008972811	0.13178673987976666	0.1806256406447551
43	Process	GO:0060700	2	9	9606	OAS3,OAS2	OAS3,OAS2	0.00018	0.0441	Regulation of ribonuclease activity	1.3555614105321614	1.3555614105321614	1.837546737723943
