	category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description	-log10(fdr)	enrichment	metric
10	Process	GO:0001818	8	280	9606	BST2,IFIH1,HERC5,PML,LGALS9B,ISG15,DDX58,IDO1	BST2,IFIH1,HERC5,PML,LGALS9B,ISG15,DDX58,IDO1	1.99e-08	1.02e-05	Negative regulation of cytokine production	4.991399828238082	0.5239658409215517	2.6153230083784558
11	Process	GO:0071345	12	1013	9606	BST2,PML,ISG20,MX2,GBP5,GBP4,IFIT1,IFIT3,IFIT2,ISG15,MX1,OAS1	BST2,PML,ISG20,MX2,GBP5,GBP4,IFIT1,IFIT3,IFIT2,ISG15,MX1,OAS1	5.02e-08	2.48e-05	Cellular response to cytokine stimulus	4.605548319173784	0.14160568595917178	0.6521718289547143
12	Process	GO:0019221	10	678	9606	BST2,PML,ISG20,MX2,IFIT1,IFIT3,IFIT2,ISG15,MX1,OAS1	BST2,PML,ISG20,MX2,IFIT1,IFIT3,IFIT2,ISG15,MX1,OAS1	1.19e-07	5.64e-05	Cytokine-mediated signaling pathway	4.248720896016658	0.23680419140476394	1.0061149162857488
13	Process	GO:0006950	19	3485	9606	BST2,GMPR,IFIH1,HERC5,PML,ISG20,PARP10,MX2,TRIM14,GBP5,GBP4,IFIT1,IFIT3,IFIT2,ISG15,DDX58,MX1,OAS1,IDO1	BST2,GMPR,IFIH1,HERC5,PML,ISG20,PARP10,MX2,TRIM14,GBP5,GBP4,IFIT1,IFIT3,IFIT2,ISG15,DDX58,MX1,OAS1,IDO1	3.7e-07	0.00016	Response to stress	3.795880017344075	-0.1954152962093719	-0.7417730179645281
14	Process	GO:0032480	4	45	9606	IFIH1,HERC5,ISG15,DDX58	IFIH1,HERC5,ISG15,DDX58	1.34e-06	0.00057	Negative regulation of type i interferon production	3.2441251443275085	1.016881362824446	3.2988903979368094
15	Process	GO:0035457	3	13	9606	IFIT3,IFIT2,OAS1	IFIT3,IFIT2,OAS1	2.4e-06	0.00099	Cellular response to interferon-alpha	3.0043648054024503	1.431211787684653	4.299882323996896
16	Process	GO:0001817	9	742	9606	BST2,IFIH1,HERC5,PML,LGALS9B,GBP5,ISG15,DDX58,IDO1	BST2,IFIH1,HERC5,PML,LGALS9B,GBP5,ISG15,DDX58,IDO1	2.86e-06	0.0011	Regulation of cytokine production	2.958607314841775	0.15187248943212522	0.4493310581571159
17	Process	GO:0071360	3	17	9606	IFIH1,IFIT1,DDX58	IFIH1,IFIT1,DDX58	4.86e-06	0.0019	Cellular response to exogenous dsrna	2.721246399047171	1.314706218613216	3.577639563206137
18	Process	GO:0050688	4	81	9606	HERC5,PML,IFIT1,DDX58	HERC5,PML,IFIT1,DDX58	1.22e-05	0.0045	Regulation of defense response to virus	2.3467874862246565	0.76160885772114	1.7873341366978261
19	Process	GO:0071310	14	2369	9606	BST2,IFIH1,PML,ISG20,MX2,GBP5,GBP4,IFIT1,IFIT3,IFIT2,ISG15,DDX58,MX1,OAS1	BST2,IFIH1,PML,ISG20,MX2,GBP5,GBP4,IFIT1,IFIT3,IFIT2,ISG15,DDX58,MX1,OAS1	1.27e-05	0.0045	Cellular response to organic substance	2.3467874862246565	-0.16040313977269974	-0.3764320811697162
20	Process	GO:0034341	5	182	9606	BST2,PML,GBP5,GBP4,OAS1	BST2,PML,GBP5,GBP4,OAS1	1.43e-05	0.005	Response to interferon-gamma	2.3010299956639813	0.5069325016227714	1.1664668920109769
21	Process	GO:0034344	2	3	9606	IFIH1,DDX58	IFIH1,DDX58	2.74e-05	0.0093	Regulation of type iii interferon production	2.0315170514460648	1.891942626216146	3.843513705515749
22	Process	GO:0010033	15	3011	9606	BST2,IFIH1,PML,ISG20,MX2,GBP5,GBP4,IFIT1,IFIT3,IFIT2,ISG15,DDX58,MX1,OAS1,IDO1	BST2,IFIH1,PML,ISG20,MX2,GBP5,GBP4,IFIT1,IFIT3,IFIT2,ISG15,DDX58,MX1,OAS1,IDO1	4.2e-05	0.0138	Response to organic substance	1.8601209135987635	-0.23458561118525073	-0.43635760139503293
23	Process	GO:0010629	12	2014	9606	BST2,IFIH1,HERC5,PML,LGALS9B,PARP10,H1F0,AFF2,ISG15,DDX58,HELZ2,IDO1	BST2,IFIH1,HERC5,PML,LGALS9B,PARP10,H1F0,AFF2,ISG15,DDX58,HELZ2,IDO1	6.41e-05	0.0206	Negative regulation of gene expression	1.6861327796308465	-0.156844334898147	-0.264460374371164
24	Process	GO:0048519	20	5389	9606	BST2,IFIH1,HERC5,PML,ISG20,LGALS9B,PARP10,TRIM14,H1F0,AFF2,IFIT1,IFIT3,PHACTR4,ISG15,DDX58,MX1,OAS1,HELZ2,IDO1,RNF213	BST2,IFIH1,HERC5,PML,ISG20,LGALS9B,PARP10,TRIM14,H1F0,AFF2,IFIT1,IFIT3,PHACTR4,ISG15,DDX58,MX1,OAS1,HELZ2,IDO1,RNF213	7.22e-05	0.0226	Negative regulation of biological process	1.645891560852599	-0.3624443026602168	-0.596544019027556
25	Process	GO:0009597	2	6	9606	IFIH1,DDX58	IFIH1,DDX58	7.65e-05	0.0227	Detection of virus	1.6439741428068773	1.590912630552165	2.61541922809263
26	Process	GO:0032020	2	6	9606	HERC5,ISG15	HERC5,ISG15	7.65e-05	0.0227	ISG15-protein conjugation	1.6439741428068773	1.590912630552165	2.61541922809263
27	Process	GO:0016185	2	7	9606	MX2,MX1	MX2,MX1	9.82e-05	0.0274	Synaptic vesicle budding from presynaptic endocytic zone membrane	1.562249437179612	1.5239658409215517	2.3808147772606483
28	Process	GO:0098884	2	8	9606	MX2,MX1	MX2,MX1	0.00012	0.0328	Postsynaptic neurotransmitter receptor internalization	1.4841261562883208	1.465973893943865	2.1756902004379306
29	Process	GO:0039528	2	9	9606	IFIH1,DDX58	IFIH1,DDX58	0.00015	0.0377	Cytoplasmic pattern recognition receptor signaling pathway in response to virus	1.4236586497942072	1.4148213714964837	2.0142226834446726
30	Process	GO:0071346	4	161	9606	PML,GBP5,GBP4,OAS1	PML,GBP5,GBP4,OAS1	0.00016	0.0405	Cellular response to interferon-gamma	1.3925449767853315	0.46326800056794004	0.645121527096269
