	category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description	-log10(fdr)	enrichment	metric
22	Process	GO:0044419	13	1899	9606	ACOT8,NMI,RYDEN,SAMHD1,F2,OAS2,IFIT1,IFIT3,IFIT2,TAP2,HLA-C,DDX58,IFITM1	ACOT8,NMI,C19orf66,SAMHD1,F2,OAS2,IFIT1,IFIT3,IFIT2,TAP2,HLA-C,DDX58,IFITM1	2.66e-06	0.0022	Interspecies interaction between organisms	2.657577319177794	-0.05107233760266264	-0.1357286860502274
23	Process	GO:0045071	4	61	9606	RYDEN,OAS2,IFIT1,IFITM1	C19orf66,OAS2,IFIT1,IFITM1	3.24e-06	0.0025	Negative regulation of viral genome replication	2.6020599913279625	0.9302394311447135	2.420538806137342
24	Process	GO:0019221	8	678	9606	NMI,SAMHD1,OAS2,IFIT1,IFIT3,IFIT2,HLA-C,IFITM1	NMI,SAMHD1,OAS2,IFIT1,IFIT3,IFIT2,HLA-C,IFITM1	8.36e-06	0.006	Cytokine-mediated signaling pathway	2.221848749616356	0.1853695679523983	0.41186314277196034
25	Process	GO:0035455	3	23	9606	IFIT3,IFIT2,IFITM1	IFIT3,IFIT2,IFITM1	9.09e-06	0.0061	Response to interferon-alpha	2.214670164989233	1.2289026935295877	2.7216141310348845
26	Process	GO:0034341	5	182	9606	NMI,RYDEN,OAS2,HLA-C,IFITM1	NMI,C19orf66,OAS2,HLA-C,IFITM1	1.04e-05	0.0067	Response to interferon-gamma	2.1739251972991736	0.5524078911784622	1.200893433819759
27	Process	GO:0006950	16	3485	9606	CRY1,RIF1,NMI,RYDEN,LGALS3BP,SAMHD1,F2,OAS2,TOR1A,IFIT1,IFIT3,IFIT2,HLA-C,DDX58,IFITM1,PNPT1	CRY1,RIF1,NMI,C19orf66,LGALS3BP,SAMHD1,F2,OAS2,TOR1A,IFIT1,IFIT3,IFIT2,HLA-C,DDX58,IFITM1,PNPT1	2.04e-05	0.0119	Response to stress	1.9244530386074692	-0.2245735249505853	-0.4321812024819442
28	Process	GO:0035456	3	31	9606	RYDEN,IFITM1,PNPT1	C19orf66,IFITM1,PNPT1	2.07e-05	0.0119	Response to interferon-beta	1.9244530386074692	1.099268835712908	2.1154912511342006
29	Process	GO:0044403	8	865	9606	ACOT8,RYDEN,SAMHD1,F2,IFIT1,TAP2,HLA-C,DDX58	ACOT8,C19orf66,SAMHD1,F2,IFIT1,TAP2,HLA-C,DDX58	4.75e-05	0.0235	Symbiotic process	1.6289321377282637	0.07958315435464752	0.12963555775007438
30	Process	GO:0006094	3	46	9606	CRY1,SLC25A12,SLC25A10	CRY1,SLC25A12,SLC25A10	6.29e-05	0.0288	Gluconeogenesis	1.5406075122407692	0.9278726978656064	1.429487648734863
31	Process	GO:0010033	14	3011	9606	CRY1,RIF1,NMI,RYDEN,SAMHD1,OAS2,TOR1A,IFIT1,IFIT3,IFIT2,HLA-C,DDX58,IFITM1,PNPT1	CRY1,RIF1,NMI,C19orf66,SAMHD1,OAS2,TOR1A,IFIT1,IFIT3,IFIT2,HLA-C,DDX58,IFITM1,PNPT1	8.24e-05	0.0353	Response to organic substance	1.4522252946121774	-0.21907344500700313	-0.3181439982169998
32	Process	GO:0009605	12	2310	9606	CRY1,NMI,RYDEN,SAMHD1,F2,OAS2,IFIT1,IFIT3,IFIT2,HLA-C,DDX58,IFITM1	CRY1,NMI,C19orf66,SAMHD1,F2,OAS2,IFIT1,IFIT3,IFIT2,HLA-C,DDX58,IFITM1	0.00012	0.0466	Response to external stimulus	1.3316140833099999	-0.17092145901700137	-0.22760142196693198
