Protein	log2(fold_change)	-log10(fdr_BH)	Gene
sp|P13667|PDIA4_HUMAN	-0.6299838882025429	4.371450612408673	PDIA4
sp|Q9UIG0|BAZ1B_HUMAN	-0.612137850496977	4.369344422810046	BAZ1B
sp|P22626|ROA2_HUMAN	-0.927864927949486	4.369344422810046	HNRNPA2B1
sp|P46776|RL27A_HUMAN	-0.9686483633134167	4.35524653328245	RPL27A
sp|P26640|SYVC_HUMAN	-0.7738938573568315	4.354648988310851	VARS
sp|Q14739|LBR_HUMAN	-0.7980360467938432	4.351394366554981	LBR
sp|O95400|CD2B2_HUMAN	0.6681157524727668	4.347477741975373	CD2BP2
sp|Q15084|PDIA6_HUMAN	-0.7997434065480813	4.325836655632775	PDIA6
sp|P08621|RU17_HUMAN	-0.6049837024828337	4.321857625000842	SNRNP70
sp|P10809|CH60_HUMAN	-0.5832878786645125	4.30645847728104	HSPD1
sp|Q99848|EBP2_HUMAN	-0.7756752271620345	4.298280740014756	EBNA1BP2
sp|Q93008|USP9X_HUMAN	-0.7593349841776341	4.285896248118876	USP9X
sp|Q9C0H9|SRCN1_HUMAN	-0.6230535864673087	4.285896248118876	SRCIN1
sp|Q9Y3T9|NOC2L_HUMAN	-0.6788367650616698	4.283548737270038	NOC2L
sp|P22102|PUR2_HUMAN	-0.6649089960318958	4.283548737270038	GART
sp|Q00341|VIGLN_HUMAN	-0.5869112950231278	4.274932687756092	HDLBP
sp|Q96AE4|FUBP1_HUMAN	-0.470033910326905	4.271643774887234	FUBP1
sp|Q13330|MTA1_HUMAN	-0.94201113271203	4.26676252413804	MTA1
sp|Q13185|CBX3_HUMAN	-0.8322262386526535	4.254730613375966	CBX3
sp|P39019|RS19_HUMAN	-0.6783060407741218	4.252852893805242	RPS19
sp|O14745|NHRF1_HUMAN	0.9413532604343346	4.228464735870357	SLC9A3R1
sp|Q99729|ROAA_HUMAN	-0.7942189723313103	4.2262737427894255	HNRNPAB
sp|Q14694|UBP10_HUMAN	-0.8680728456937312	4.209705112163742	USP10
sp|O14776|TCRG1_HUMAN	-0.5874606433303233	4.209166513163296	TCERG1
sp|P49736|MCM2_HUMAN	-0.9276089765719706	4.209166513163296	MCM2
sp|P61254|RL26_HUMAN	-0.626451201378659	4.186180975765277	RPL26
sp|Q16555|DPYL2_HUMAN	-0.6631824509686028	4.18269165568346	DPYSL2
sp|Q09028|RBBP4_HUMAN	-0.6097698150555156	4.182215952788851	RBBP4
sp|P33992|MCM5_HUMAN	-0.74344507392922	4.146035118561007	MCM5
sp|P61769|B2MG_HUMAN	0.7934644803350877	4.143870218800235	B2M
sp|P00491|PNPH_HUMAN	1.4176993003719285	4.143870218800235	PNP
sp|P01023|A2MG_HUMAN	1.749790920360518	4.143870218800235	A2M
sp|O15042|SR140_HUMAN	-0.5716164989130262	4.142934172640098	U2SURP
sp|Q86U42|PABP2_HUMAN	-0.8610311356215941	4.137296838891385	PABPN1
sp|Q9BQE3|TBA1C_HUMAN	-0.6031374591369583	4.132063515438644	TUBA1C
sp|Q13287|NMI_HUMAN	1.1781986431144005	4.076096859969261	NMI
sp|P51991|ROA3_HUMAN	-0.8061396564045937	4.071477939771788	HNRNPA3
sp|Q5T9A4|ATD3B_HUMAN	-0.5604232522479478	4.070193217135271	ATAD3B
sp|P12236|ADT3_HUMAN	0.5116452329435852	4.057984561983576	SLC25A6
sp|Q9BUF5|TBB6_HUMAN	-0.6087765202089219	4.015098376214228	TUBB6
sp|P07195|LDHB_HUMAN	-0.5872734250682214	4.010919315260539	LDHB
sp|Q15149|PLEC_HUMAN	-0.4726106108893713	4.008748087069153	PLEC
sp|Q15366|PCBP2_HUMAN	-0.4737586976369892	4.005857844584479	PCBP2
sp|Q99584|S10AD_HUMAN	1.1443140960432383	4.00363881735136	S100A13
sp|O14929|HAT1_HUMAN	-0.9724726321720076	4.00363881735136	HAT1
sp|P20290|BTF3_HUMAN	-1.1810927813530945	3.997555610192833	BTF3
sp|Q9Y3U8|RL36_HUMAN	-0.9379643478452844	3.997555610192833	RPL36
sp|Q99460|PSMD1_HUMAN	-0.645035238899248	3.995362144650885	PSMD1
sp|P49327|FAS_HUMAN	-0.5320779095527635	3.9875719333150728	FASN
sp|Q6P2Q9|PRP8_HUMAN	-0.6801246731540134	3.9724943587287744	PRPF8
sp|Q02790|FKBP4_HUMAN	-0.6349605944563279	3.970933160030549	FKBP4
sp|Q9NQ48|LZTL1_HUMAN	0.6653112652087295	3.9383217302026177	LZTFL1
sp|O75390|CISY_HUMAN	-0.5407636237653459	3.938135713053712	CS
sp|O14737|PDCD5_HUMAN	-0.7643892288710372	3.9319528478785024	PDCD5
sp|P31939|PUR9_HUMAN	-0.5170347112388036	3.92137201798989	ATIC
sp|Q12905|ILF2_HUMAN	-0.6222096687073466	3.917380117739381	ILF2
sp|Q9P258|RCC2_HUMAN	-0.5961659490006375	3.90643367677744	RCC2
sp|Q9UJS0|CMC2_HUMAN	-0.8670276545905533	3.8994654660412262	SLC25A13
sp|Q14966|ZN638_HUMAN	-0.9256636802226308	3.8699898918642415	ZNF638
sp|P49368|TCPG_HUMAN	-0.4647052276615263	3.8699898918642415	CCT3
sp|Q9NY12|GAR1_HUMAN	-0.9440177632220228	3.868846393170464	GAR1
sp|P04004|VTNC_HUMAN	1.9677628532538816	3.868846393170464	VTN
sp|P61313|RL15_HUMAN	-0.5155092220968088	3.867387530955673	RPL15
sp|Q9HB71|CYBP_HUMAN	-1.0894834393258417	3.845542922363121	CACYBP
sp|P10515|ODP2_HUMAN	-0.7178900105459827	3.840175437044532	DLAT
sp|P84098|RL19_HUMAN	-0.8032998801923311	3.83820683420824	RPL19
sp|P56192|SYMC_HUMAN	-0.703226394466515	3.808569947540192	MARS
sp|P05091|ALDH2_HUMAN	-0.500001579459604	3.807729823805102	ALDH2
sp|P14210|HGF_HUMAN	-2.43941515860158	3.806791589185849	HGF
sp|Q9UBC5|MYO1A_HUMAN	0.8630274154042741	3.801338083131092	MYO1A
sp|P22087|FBRL_HUMAN	-0.6887122521779567	3.801338083131092	FBL
sp|Q13595|TRA2A_HUMAN	0.7990520364122804	3.800571382545465	TRA2A
sp|Q7Z6Z7|HUWE1_HUMAN	-0.6244447935632013	3.794714287624616	HUWE1
sp|A6NHR9|SMHD1_HUMAN	-0.8095713876760763	3.794714287624616	SMCHD1
sp|Q9BXM0|PRAX_HUMAN	1.148319228923099	3.777387120434664	PRX
sp|Q7Z406|MYH14_HUMAN	-0.6894768408915622	3.769607142045062	MYH14
sp|O95372|LYPA2_HUMAN	1.159981849775566	3.749905706709261	LYPLA2
sp|O60563|CCNT1_HUMAN	1.3367402562408284	3.7488881250626	CCNT1
sp|O00264|PGRC1_HUMAN	-0.731993161108857	3.7488881250626	PGRMC1
sp|Q14692|BMS1_HUMAN	0.9500170648280554	3.748692378247232	BMS1
sp|P19823|ITIH2_HUMAN	-0.4636643929429848	3.723138281719516	ITIH2
sp|Q86V81|THOC4_HUMAN	-0.8959660981970823	3.7190079574644215	ALYREF
sp|Q13541|4EBP1_HUMAN	-1.5910033013847984	3.717340227826634	EIF4EBP1
sp|O94973|AP2A2_HUMAN	-0.6870889724689588	3.717340227826634	AP2A2
sp|P52292|IMA1_HUMAN	-0.6804488523485188	3.702366323993029	KPNA2
sp|O75083|WDR1_HUMAN	0.4831220882111895	3.698908910945539	WDR1
sp|Q6PEY2|TBA3E_HUMAN	-0.6208055491228446	3.698908910945539	TUBA3E
sp|Q92522|H1X_HUMAN	-2.5940268561268884	3.695941289424216	H1FX
sp|O95831|AIFM1_HUMAN	-0.5610127392163625	3.694242179410611	AIFM1
sp|P30101|PDIA3_HUMAN	-0.6622770202441396	3.694242179410611	PDIA3
sp|Q96AG4|LRC59_HUMAN	-0.5250369013591902	3.693682916505983	LRRC59
sp|P42694|HELZ_HUMAN	-0.7586641024696492	3.673929127866152	HELZ
sp|P18583|SON_HUMAN	-0.5979413091452812	3.6737769019329423	SON
sp|P11940|PABP1_HUMAN	-0.6873413091626648	3.672088794991168	PABPC1
sp|Q9UKL0|RCOR1_HUMAN	-0.8238600395996575	3.672088794991168	RCOR1
sp|Q9Y490|TLN1_HUMAN	0.4681778374711128	3.666166390780742	TLN1
sp|P68366|TBA4A_HUMAN	-0.5888700132276625	3.6398810860846016	TUBA4A
sp|Q5VYK3|ECM29_HUMAN	-0.7138804245756754	3.623209269494174	ECPAS
sp|P29372|3MG_HUMAN	-1.0718908455854348	3.623209269494174	MPG
sp|O14617|AP3D1_HUMAN	-0.8183111000923844	3.621292874764129	AP3D1
sp|Q9NSD9|SYFB_HUMAN	-0.7605843803459903	3.6191867053989153	FARSB
sp|P63167|DYL1_HUMAN	-0.8262816787456788	3.6181240338114105	DYNLL1
sp|Q9GZT3|SLIRP_HUMAN	-0.7211201579816391	3.6181240338114105	SLIRP
sp|Q8N4C8|MINK1_HUMAN	-0.9369062685098052	3.613770652834269	MINK1
sp|Q9Y3Y2|CHTOP_HUMAN	-0.8445594046720474	3.6123498159708594	CHTOP
